country_name_normalized,country_code,country_name
bahamas,BHS,Bahamas, The
brunei,BRN,Brunei Darussalam
cape verde,CPV,Cabo Verde
czech republic,CZE,Czechia
democratic republic of the congo,COD,Congo, Dem. Rep.
east timor,TLS,Timor-Leste
egypt,EGY,Egypt, Arab Rep.
gambia,GMB,Gambia, The
hong kong,HKG,Hong Kong SAR, China
iran,IRN,Iran, Islamic Rep.
italy including san marino and vatican city,ITA,Italy
ivory coast,CIV,Cote d'Ivoire
kyrgyzstan,KGZ,Kyrgyz Republic
laos,LAO,Lao PDR
macao,MAC,Macao SAR, China
north korea,PRK,Korea, Dem. People's Rep.
puerto rico,PRI,Puerto Rico (US)
reunion,REU,Reunion
russia,RUS,Russian Federation
saint helena ascension and tristan da cunha,SHN,Saint Helena, Ascension and Tristan da Cunha
saint kitts and nevis,KNA,Saint Kitts and Nevis
saint lucia,LCA,Saint Lucia
saint pierre and miquelon,SPM,Saint Pierre and Miquelon
saint vincent and the grenadines,VCT,Saint Vincent and the Grenadines
serbia and montenegro,SCG,Serbia and Montenegro
slovakia,SVK,Slovak Republic
somalia,SOM,Somalia, Fed. Rep.
south korea,KOR,Korea, Rep.
spain including andorra,ESP,Spain
sudan south sudan,SDN,Sudan
switzerland including liechtenstein,CHE,Switzerland
syria,SYR,Syrian Arab Republic
